Room Id,Room Number,Room Name,Level,,Room Id,Room Number,Room Name,Level
121801,121801,HPSB Entrance,Ground Floor,,10101,101,Right Elevator,1 Floor HPSB
121804,121804,Bldg 1 Entrance,Ground Floor,,10102,102,Left Elevator,1 Floor HPSB
121805,121805,Bldg 2 Entrance,Ground Floor,,10201,201,Left Elevator,2 Floor HPSB
121806,121806,Bldg 3 Entrance,Ground Floor,,10202,202,Right Elevator,2 Floor HPSB
121807,121807,Walkway,Ground Floor,,10301,301,Left Elevator,3 Floor HPSB
121815,121815,Soccer Field,Ground Floor,,10302,302,Right Elevator,3 Floor HPSB
121816,121816,Oval,Ground Floor,,10401,401,Left Elevator,4 Floor HPSB
,,,,,10402,402,Right Elevator,4 Floor HPSB
1,1,Fire Exit,1 Floor HPSB,,10501,501,Faculty Offfice ,5 Floor HPSB
2,2,Fire Exit,1 Floor HPSB,,10502,502,Library,5 Floor HPSB
3,3,Fire Exit,2 Floor HPSB,,10503,503,Admin Office,5 Floor HPSB
4,4,Fire Exit,2 Floor HPSB,,10504,504,Classroom,5 Floor HPSB
5,5,Fire Exit,5 Floor HPSB,,10505,505,Classroom,5 Floor HPSB
5,5,Fire Exit,3 Floor HPSB,,10506,506,Classroom,5 Floor HPSB
6,6,Fire Exit,6 Floor HPSB,,10507,507,Multi Media Room,5 Floor HPSB
6,6,Fire Exit,3 Floor HPSB,,10508,508,Classroom,5 Floor HPSB
7,7,Fire Exit,7 Floor HPSB,,10509,509,Classroom,5 Floor HPSB
7,7,Fire Exit,4 Floor HPSB,,10510,510,Classroom,5 Floor HPSB
8,8,Fire Exit,4 Floor HPSB,,10511,511,Classroom,5 Floor HPSB
9,9,Fire Exit,5 Floor HPSB,,10512,512,Classroom,5 Floor HPSB
10,10,Fire Exit,5 Floor HPSB,,10513,513,Male Cr Right,5 Floor HPSB
11,11,Fire Exit,6 Floor HPSB,,10514,514,Female Cr Right,5 Floor HPSB
12,12,Fire Exit,6 Floor HPSB,,10515,515,Storage,5 Floor HPSB
13,13,Fire Exit,7 Floor HPSB,,10516,516,Left Elevator,5 Floor HPSB
14,14,Fire Exit,7 Floor HPSB,,10517,517,Right Elevator,5 Floor HPSB
15,15,Fire Exit,8 Floor HPSB,,10518,518,Elec Room,5 Floor HPSB
16,16,Fire Exit,8 Floor HPSB,,10519,519,Female Cr Left,5 Floor HPSB
17,17,Fire Exit,9 Floor HPSB,,10520,520,Male Cr Left,5 Floor HPSB
18,18,Fire Exit,9 Floor HPSB,,10521,521,Janitors Closet,5 Floor HPSB
19,19,Fire Exit,10 Floor HPSB,,,,,
20,20,Fire Exit,10 Floor HPSB,,10601,601,Classroom,6 Floor HPSB
21,21,Fire Exit,11 Floor HPSB,,10602,602,Classroom,6 Floor HPSB
22,22,Fire Exit,11 Floor HPSB,,10603,603,Classroom,6 Floor HPSB
23,23,Fire Exit,12 Floor HPSB,,10604,604,Com Lab,6 Floor HPSB
24,24,Fire Exit,12 Floor HPSB,,10605,605,Classroom,6 Floor HPSB
,,,,,10606,606,Classroom,6 Floor HPSB
10101,101,HPSB Entrance,1 Floor HPSB,,10607,607,Classroom,6 Floor HPSB
10102,102,HPSB 1st Floor Parking Entrance,1 Floor HPSB,,10608,608,Classroom,6 Floor HPSB
10201,201,HPSB 2nd Floor Parking Entrance,2 Floor HPSB,,10609,609,Classroom,6 Floor HPSB
10301,301,HPSB 3rd Floor Parking Entrance,3 Floor HPSB,,10610,610,Classroom,6 Floor HPSB
10401,401,HPSB 4th Floor Parking Entrance,4 Floor HPSB,,10611,611,Classroom,6 Floor HPSB
,,,,,10612,612,Classroom,6 Floor HPSB
22201,22201,Stairs,1 Floor HPSB,,10613,613,Classroom,6 Floor HPSB
22202,22202,Stairs,2 Floor HPSB,,10614,614,Classroom,6 Floor HPSB
22203,22203,Stairs,3 Floor HPSB,,10615,615,Skills Lab Right,6 Floor HPSB
22204,22204,Stairs,4 Floor HPSB,,10616,617,Skills Lab Left,6 Floor HPSB
22208,22208,Stairs,8 Floor HPSB,,10617,618,Female Cr Right,6 Floor HPSB
22209,22209,Stairs,9 Floor HPSB,,10618,619,Male Cr Right,6 Floor HPSB
22210,22210,Stairs,10 Floor HPSB,,10619,620,Janitors Closet,6 Floor HPSB
22211,22211,Stairs,11 Floor HPSB,,10620,615,Skills Lab Left,6 Floor HPSB
22212,22212,Stairs,12 Floor HPSB,,10621,621,Left Elevator,6 Floor HPSB
,,,,,10622,622,Right Elevator,6 Floor HPSB
100105,100105,Pwd Chair,5 Floor HPSB,,10623,623,Elec Room,6 Floor HPSB
100106,100106,Pwd Chair,6 Floor HPSB,,10624,624,Janitors Closet,6 Floor HPSB
100107,100107,Pwd Chair,7 Floor HPSB,,10625,625,Male Cr Left,6 Floor HPSB
100108,100108,Pwd Chair,8 Floor HPSB,,10626,626,Female Cr Left,6 Floor HPSB
100109,100109,Pwd Chair,9 Floor HPSB,,10627,627,Student Center,6 Floor HPSB
100110,100110,Pwd Chair,10 Floor HPSB,,10628,628,Storage,6 Floor HPSB
,,,,,10629,629,Storage,6 Floor HPSB
,,,,,10630,617,Skills Lab Left,6 Floor HPSB
,,,,,,,,
,,,,,10701,701,Multi Media Room,7 Floor HPSB
,,,,,10702,702,Classroom,7 Floor HPSB
,,,,,10703,703,Classroom,7 Floor HPSB
,,,,,10704,704,Classroom,7 Floor HPSB
,,,,,10705,705,Classroom,7 Floor HPSB
,,,,,10706,706,Classroom,7 Floor HPSB
,,,,,10707,707,Classroom,7 Floor HPSB
,,,,,10708,708,Lab Room,7 Floor HPSB
,,,,,10709,709,Lab Room,7 Floor HPSB
,,,,,10710,710,Skills Lab Left,7 Floor HPSB
,,,,,10711,712,Skills Lab Right,7 Floor HPSB
,,,,,10712,713,Female Cr Right,7 Floor HPSB
,,,,,10713,714,Male Cr Right,7 Floor HPSB
,,,,,10714,715,Janitors Closet,7 Floor HPSB
,,,,,10715,710,Skills Lab Right,7 Floor HPSB
,,,,,10716,712,Skills Lab Left,7 Floor HPSB
,,,,,10717,716,Storage,7 Floor HPSB
,,,,,10718,717,Elec Room,7 Floor HPSB
,,,,,10719,718,Janitors Closet,7 Floor HPSB
