room_number,Name,x,y,z
1,Room,-147.4131391,-60.28575993,0
911,Room,-123.0221928,-66.05994314,0
912,Room,-114.6595826,-73.22789471,0
913,Room,-111.4574829,-68.25015056,0
914,Room,-94.9477158,-73.22789471,0
915,Room,-94.9477158,-60.28575993,0
916,Room,-86.58510564,-60.28575993,0
917,Room,-53.6324394,-60.28575993,0
919,Room,-37.3054386,-72.26796953,0
918,Room,-41.48674368,-66.05994314,0
920,Room,-132.3803518,-51.72404,0
921,Room,-108.258664,-51.72404,0
922,Room,-87.978874,-51.72404,0
923,Room,-86.58510564,-33.00772202,0
924,Room,-64.28481187,-51.72404,0
925,Room,-33.75721025,-56.26794097,0
926,Room,-20.9784378,-60.28575993,0
927,Room,-9.330516505,-56.26794097,0
928,Room,-10.62472998,-47.70622104,0
934,Room,1.520965731,-46.34807633,0
935,Room,30.98921107,-46.34807633,0
929,Room,-31.43170051,-19.66736771,0
930,Room,-16.79713272,-13.79362962,0
931,Room,-15.00514483,-6.625678047,0
932,Room,-29.34104797,-4.037251092,0
933,Room,-8.46282227,-4.037251092,0
902,Room,32.97441517,-22.95027781,0
903,Room,78.77629721,-22.95027781,0
910,Room,68.05511987,-51.75936186,0
909,Room,110.5302107,-51.75936186,0
908,Room,144.1897166,-51.75936186,0
2,Room,186.5503192,-61.14738732,0
904,Room,99.72133425,-37.17237905,0
905,Room,118.7263614,-37.17237905,0
906,Room,139.3342222,-37.17237905,0
907,Room,159.7131067,-37.17237905,0
938,Room,169.6391519,-31.0207988,0
939,Room,186.6717103,-28.46789969,0
940,Room,164.5988127,-22.96934776,0
941,Room,185.6765951,-22.96934776,0
942,Room,188.996805,-25.45678792,0
936,Room,16.53568212,-46.34807633,0
937,Room,36.75066189,-31.0207988,0
1,Room,48.66104729,-65.16520628,0
3,Room,-147.4319854,-60.25482812,13.12335958
1018,Room,-133.2872878,-63.38262047,13.12335958
1001,Room,-131.3827596,-51.52260399,13.12335958
1002,Room,-107.4895877,-51.52260399,13.12335958
1003,Room,-83.76955476,-51.52260399,13.12335958
1004,Room,-60.13609125,-51.52260399,13.12335958
1005,Room,-36.24291935,-51.52260399,13.12335958
1006,Room,-9.146677312,-56.28392447,13.12335958
1020,Room,-10.44521926,-47.50478502,13.12335958
1026,Room,1.934214002,-46.32843618,13.12335958
1027,Room,31.19469263,-46.32843618,13.12335958
1021,Room,-31.48159887,-19.83818038,13.12335958
1022,Room,-17.02449848,-14.21116526,13.12335958
1023,Room,-15.20653975,-6.852760874,13.12335958
1024,Room,-29.31736228,-3.909399119,13.12335958
1025,Room,-8.918658939,-3.909399119,13.12335958
1007,Room,12.32254961,-22.78154214,13.12335958
1008,Room,33.70520707,-22.78154214,13.12335958
1009,Room,55.69385077,-22.78154214,13.12335958
1010,Room,77.59592501,-22.78154214,13.12335958
1011,Room,99.41142978,-22.78154214,13.12335958
1012,Room,120.8806567,-22.78154214,13.12335958
1032,Room,164.4947852,-22.78154214,13.12335958
1033,Room,185.7895747,-22.78154214,13.12335958
1034,Room,189.1097846,-25.47688238,13.12335958
1031,Room,186.9075449,-28.24634598,13.12335958
1030,Room,169.9066172,-30.87180569,13.12335958
4,Room,186.6505027,-61.47245327,13.12335958
73,Room,170.0247275,-51.52269264,13.12335958
1013,Room,159.288661,-51.52269264,13.12335958
1014,Room,141.4183672,-51.52269264,13.12335958
1015,Room,121.453387,-51.52269264,13.12335958
1016,Room,99.32826138,-51.52269264,13.12335958
1017,Room,77.59588947,-51.52269264,13.12335958
1029,Room,37.25343541,-28.0170259,13.12335958
1028,Room,17.04053591,-46.32843618,13.12335958
1019,Room,-20.45461659,-52.26610551,13.12335958
2,Room,48.51775266,-65.18610433,13.12335958
5,Room,-136.183789,-65.62533465,26.24671916
1101,Room,-133.2910211,-62.92562101,26.24671916
1102,Room,-98.40647493,-25.90214676,26.24671916
1103,Room,-31.90381316,-46.31089776,26.24671916
1104,Room,-9.108693851,-55.91344056,26.24671916
1105,Room,-10.48333183,-47.60015372,26.24671916
1106,Room,-31.75749108,-19.84555827,26.24671916
1108,Room,-29.13913302,-4.200868854,26.24671916
1109,Room,-8.65048119,-4.200868854,26.24671916
1107,Room,-15.19637634,-6.622850061,26.24671916
1110,Room,-3.479224019,-22.85667004,26.24671916
1123,Room,1.345446372,-46.31089776,26.24671916
1122,Room,31.36423021,-46.31089776,26.24671916
1120,Room,63.60010173,-50.32871672,26.24671916
1118,Room,162.5178334,-77.62635554,26.24671916
6,Room,186.5969346,-61.36973718,26.24671916
1119,Room,184.5675834,-35.92860215,26.24671916
1115,Room,154.9169193,-36.66302044,26.24671916
1114,Room,152.8392521,-41.85718825,26.24671916
1117,Room,150.0690293,-22.89847576,26.24671916
1116,Room,143.1434722,-22.89847576,26.24671916
1113,Room,130.764039,-31.5554221,26.24671916
1112,Room,122.2802316,-31.5554221,26.24671916
1111,Room,81.07316698,-37.83936928,26.24671916
1121,Room,37.44215743,-27.65979625,26.24671916
3,Room,48.60961821,-66.35634639,26.24671916
1124,Room,16.31920836,-39.08696542,26.24671916
